Объект;Должность;График работы;Оклад (тариф)
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Уборщик производственных и служебных помещений;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной, на 0,5 ст по 4 ч. (и сов-во);25 000
ОП Тула - Лемана Про;Подсобный рабочий;Основной;25 000
ОП Тула - Лемана Про;Прессовщик;Основной;25 000
Аллерс;Подсобный рабочий;Основной график;24 000
КПМГ;Уборщик производственных и служебных помещений;Основной график;29 000
КПМГ;Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);29 000
Нью Сити;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной график;29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);29 000
Нью Сити;Уборщик производственных и служебных помещений;Основной график;29 000
Нью Сити;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Нью Сити;Менеджер по запуску;Основной график;40 230
Нью Сити;Водитель погрузчика;Основной график;29 000
Нью Сити;Уборщик территории;Основной график;29 000
Нью Сити;Тракторист;Основной график;29 000
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик производственных и служебных помещений;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Уборщик территории;Основной график;34 483
ПортЭнерго;Водитель автомобиля;Основной график;57 472
ПортЭнерго;Тракторист;Основной график;57 472
ПортЭнерго;Техник;Основной график;34 483
ПортЭнерго;Техник;Основной график;34 483
ПортЭнерго;Менеджер;Основной график;114 943
Терминал;Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;29 000
Терминал;Уборщик производственных и служебных помещений;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Подсобный рабочий;Основной график;29 000
Терминал;Администратор;Основной график;29 000
Терминал;Менеджер;Основной график;37 932
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,75 ст 5/2- по 6,0ч;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Пятидневка 0,5 ставки;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной на  0,25 ст 5/2 по 2,0ч;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Дворник;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Тракторист;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Тракторист;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Менеджер;Основной график;91 955
КНАУФ ПЕТРОБОРД (Коммунар);Прачка;Основной график;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Оператор уборки;Основной на  0,25 ст 5/2 по 2,0ч;24 000
КНАУФ ПЕТРОБОРД (Коммунар);Переплетчик;Основной на 0,5 по 4 ч (и совм-во);24 000
Финтранс ГЛ (Коммунар);Оператор уборки;Основной график;24 000
ТимКен (оп);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);29 000
"""ТПК ""Стенова""";Уборщик производственных и служебных помещений;Основной график;29 000
"""ТПК ""Стенова""";Подсобный рабочий;Основной график;29 000
Ашан-Сити ТАУ (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);23 000
Ашан-Сити ТАУ (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Прессовщик;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Прессовщик;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Прессовщик;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Прессовщик;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Прессовщик;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Менеджер;Основной график;57 472
Ашан-Сити ТАУ (Саратов);Сборщик тележек;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Сборщик тележек;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Сборщик тележек;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Бригадир;Основной график;23 000
Ашан-Сити ТАУ (Саратов);Бригадир;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Уборщик производственных и служебных помещений;Основной график;23 000
Ашан Оранж (Саратов);Прессовщик;Основной график;23 000
Ашан Оранж (Саратов);Прессовщик;Основной график;23 000
Ашан Оранж (Саратов);Прессовщик;Основной график;23 000
Ашан Оранж (Саратов);Прессовщик;Основной график;23 000
Ашан Оранж (Саратов);Прессовщик;Основной график;23 000
Ашан Оранж (Саратов);Менеджер;Основной график;22 989
Ашан Оранж (Саратов);Сборщик тележек;Основной график;23 000
Ашан Оранж (Саратов);Сборщик тележек;Основной график;23 000
Ашан Оранж (Саратов);Бригадир;Основной график;23 000
Ашан Офис (Москва);Уборщик производственных и служебных помещений;Основной на 0,5 по 4 ч (и совм-во);33 000
Ашан Офис (Москва);Уборщик производственных и служебных помещений;Основной график;33 000
АТАК 515 (Москва);Уборщик производственных и служебных помещений;Основной график;33 000
ОП Новосибирск, ЛЦ Ашан №861;Уборщик производственных и служебных помещений;Основной график;27 600
ОП Новосибирск, ЛЦ Ашан №861;Уборщик производственных и служебных помещений;Основной на  0,25 ст 5/2 по 2,0ч;27 600
ОП Новосибирск, ЛЦ Ашан №861;Уборщик производственных и служебных помещений;График 2/2 по 11      №3;27 600
ОП Новосибирск, ЛЦ Ашан №861;Уборщик производственных и служебных помещений;График 2/2 по 11      №4;27 600
ОП Новосибирск, ЛЦ Ашан №861;Уборщик производственных и служебных помещений;Основной 35 час/недел 5/2- по 7,0ч;27 600
ОП Новосибирск, ЛЦ Ашан №861;Уборщик территории;Основной график;27 600
ОП Новосибирск, ЛЦ Ашан №861;Прессовщик;График 2/2 по 11      №4;27 600
ОП Новосибирск, ЛЦ Ашан №861;Прессовщик;Основной на  0,25 ст 5/2 по 2,0ч;27 600
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;40 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;23 000
ОП Пермь;Уборщик производственных и служебных помещений;Основной график;25 000
ОП Пермь;Уборщик территории;Основной график;23 000
ОП Пермь;Уборщик территории;Основной график;23 000
ОП Пермь;Уборщик территории;Основной график;25 000
ОП Пермь;Уборщик территории;Основной график;23 000
ОП Пермь;Менеджер;Основной график;80 000
ОП Сыктывкар РЦ WB;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар РЦ WB;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар РЦ WB;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар РЦ WB;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар ЦБК;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар ЦБК;Уборщик производственных и служебных помещений;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной 36-час/нед 5/2 по 7,2ч;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №3;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №3;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №4;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №4;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №3;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;Основной график;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Подсобный рабочий;день/ночь по 11 час №4 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Специалист по охране труда;Основной 36-час/нед 5/2 по 7,2ч;27 100
ОП Сыктывкар ЦБК;Гардеробщик;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Гардеробщик;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Механик;Основной график;27 725
ОП Сыктывкар ЦБК;Водитель погрузчика;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;день/ночь по 11 час №1 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;день/ночь по 11 час №1 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;Основной график;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Водитель погрузчика;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №2;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;Основной график;27 100
ОП Сыктывкар ЦБК;Водитель автомобиля;день/ночь по 11 час №1 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;день/ночь по 11 час №2 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;день/ночь по 11 час №4 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №3;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;день/ночь по 11 час №4 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;день/ночь по 11 час №1 Сыктывкар;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №4;22 440
ОП Сыктывкар ЦБК;Водитель автомобиля;График 2/2 по 11      №1;22 440
ОП Сыктывкар ЦБК;Машинист бульдозера;Основной график;22 440
ОП Сыктывкар ЦБК;Слесарь по ремонту автомобилей;Основной график;22 440
ОП Сыктывкар ЦБК;Слесарь по ремонту автомобилей;Основной график;22 440
ОП Сыктывкар ЦБК;Маляр;Основной график;22 440
ОП Сыктывкар ЦБК;Маляр;Основной график;22 440
ОП Сыктывкар ЦБК;Электромонтер по ремонту и обслуживанию электрооборудования;Основной график;22 440
ОП Сыктывкар ЦБК;Менеджер;График 2/2 по 11      №1;27 100
ОП Сыктывкар ЦБК;Менеджер;График 2/2 по 11      №4;27 100
ОП Сыктывкар ЦБК;Менеджер;Основной график;27 100
ОП Сыктывкар ЦБК;Управляющий;Основной график;47 330
ОП Сыктывкар ЦБК;Руководитель проекта;Основной график;244 000
ОП Сыктывкар ЦБК;Плотник;Основной график;22 440
ОП Невинномысский Азот;Администратор;Основной график;27 000
ОП Невинномысский Азот;Администратор;Основной график;27 000
ОП Невинномысский Азот;Администратор;Основной на 0,5 по 4 ч (и совм-во);27 000
ОП Невинномысский Азот;Администратор;Основной график;27 000
ОП Невинномысский Азот;Водитель автомобиля;Основной график;27 000
ОП Невинномысский Азот;Управляющий;Основной график;114 943
ОП Невинномысский Азот;Инженер по охране труда;Основной на 0,5 по 4 ч (и совм-во);27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной на 0,75 ст 5/2- по 6,0ч;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Пятидневка 0,75 ставки;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Пятидневка 0,5 ставки;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной на 0,5 по 4 ч (и совм-во);27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной на 0,5 по 4 ч (и совм-во);27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Пятидневка 0,5 ставки;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Основной график;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Пятидневка 0,5 ставки;27 000
ОП Невинномысский Азот, Цех;Оператор уборки;Пятидневка 0,5 ставки;27 000
