Объект;Должность;График работы;Оклад (тариф);Количество ставок;Тип оплаты;
БЦ Москва;Менеджер;5/2;40 230;1;оклад;
БЦ Москва;Уборщик производственных и служебных помещений;5/2;29 000;1/4;оклад;
БЦ Москва;Уборщик производственных и служебных помещений;2/2;29 000;1;оклад;
БЦ Москва;Подсобный рабочий;5/2;29 000;1;оклад;
БЦ Москва;Подсобный рабочий;5/2;29 000;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
Легион;Менеджер;5/2;45 978;1;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Менеджер;5/2;68 966;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Менеджер;5/2;80 460;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Менеджер;5/2;45 978;1;оклад;
Лемана Про (Шушары);Тракторист;5/2;29 000;1;оклад;
Лемана Про (Шушары);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Дворник;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Менеджер;5/2;68 966;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Испытателей);Подсобный рабочий;5/2;29 000;1;оклад;
Масштаб;Уборщик территорий;5/2;29 000;1;оклад;
Масштаб;Уборщик территорий;5/2;29 000;1;оклад;
Масштаб;Подсобный рабочий;5/2;29 000;1;оклад;
Мега-Дыбенко;Администратор;5/2;291,28;1;тариф;
Мега-Дыбенко;Сотрудник стола информации;5/2;277,34;1/2;тариф;
Мега-Дыбенко;Сотрудник стола информации;5/2;277,34;1/2;тариф;
Мега-Дыбенко;Сотрудник стола информации;5/2;277,34;1/2;тариф;
Мега-Дыбенко;Сотрудник стола информации;5/2;277,34;1;тариф;
Мега-Дыбенко;Старший администратор;5/2;323,93;1;тариф;
Мерседес;Менеджер;5/2;45 978;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Менеджер;5/2;57 472;1;оклад;
ОЗОН (Бугры);Уборщик производственных и служебных помещений;5/2;28 736;1;оклад;
ОЗОН (Бугры);Уборщик производственных и служебных помещений;5/2;28 736;1;оклад;
ОЗОН (Бугры);Уборщик производственных и служебных помещений;5/2;28 736;1;оклад;
ОЗОН (Бугры);Уборщик производственных и служебных помещений;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;28 736;1;оклад;
ОЗОН (Волхонское шоссе);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
ОЗОН (Волхонское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Пепсико;Тракторист;5/2;29 000;1;оклад;
Пепсико;Уборщик территорий;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Пепсико;Подсобный рабочий;5/2;29 000;1;оклад;
Пепсико;Подсобный рабочий;5/2;29 000;1;оклад;
Пепсико;Администратор;5/2;29 000;1;оклад;
Пепсико;Администратор;5/2;29 000;1;оклад;
Пепсико;Монтажник;5/2;29 000;1/2;оклад;
СеверЛиквидГаз;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
СеверЛиквидГаз;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
СеверЛиквидГаз;Подсобный рабочий;5/2;29 000;1/2;оклад;
ТК Василеостровский;Менеджер;5/2;40 230;1;оклад;
ТК Василеостровский;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
ТК Василеостровский;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
ТК Василеостровский;Подсобный рабочий;5/2;29 000;1;оклад;
ТК Василеостровский;Подсобный рабочий;5/2;29 000;1;оклад;
ТК Василеостровский;Подсобный рабочий;5/2;29 000;1;оклад;
ТК Василеостровский;Дворник;5/2;29 000;1;оклад;
АТАК 548 (Горки-10);Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Менеджер;5/2;45 978;1/2;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Тракторист;5/2;68 966;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик территорий;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик территорий;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Уборщик производственных и служебных помещений;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Бригадир;5/2;45 978;1;оклад;
КНАУФ ПЕТРОБОРД (Ступино);Бригадир;5/2;68 966;1;оклад;
Новороссийск;Уборщик производственных и служебных помещений;5/2;22 440;1;оклад;
Новороссийск;Уборщик производственных и служебных помещений;5/2;22 440;1;оклад;
Тихвин;Менеджер;5/2;68 966;1;оклад;
Тихвин;Тракторист;5/2;24 000;1;оклад;
Тихвин;Тракторист;5/2;24 000;1;оклад;
Тихвин;Тракторист;5/2;24 000;1;оклад;
Тихвин;Тракторист;5/2;24 000;1;оклад;
Тихвин;Уборщик территорий;5/2;24 000;1;оклад;
Тихвин;Уборщик территорий;5/2;24 000;1;оклад;
Тихвин;Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
Тихвин;Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
Тихвин;Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
Тихвин;Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
Пепсико, Домодедово;Менеджер;5/2;103 449;1;оклад;
Пепсико, Домодедово;Тракторист;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик территорий;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик территорий;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик территорий;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик территорий;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик территорий;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
Пепсико, Домодедово;Уборщик производственных и служебных помещений;5/2;23 000;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщик производственных и служебных помещений;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Подсобный рабочий;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Прессовщик;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Менеджер по производству;5/2;57 472;1;оклад;
ОП Воронеж /Лемана Про;Бригадир;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Бригадир;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщица;5/2;34 483;1;оклад;
ОП Воронеж /Лемана Про;Уборщица;5/2;34 483;1;оклад;
ОП Казань;Администратор;5/2;23 460;1/2;оклад;
ОП Казань;Сотрудник стола информации;5/2;39 831;1;оклад;
ОП Казань;Сотрудник стола информации;5/2;39 831;1;оклад;
ОП Казань;Сотрудник стола информации;5/2;39 831;1/4;оклад;
ОП Казань;Сотрудник стола информации;5/2;39 831;1/2;оклад;
ОП Казань;Помощник администратора;5/2;23 460;1;оклад;
ОП Казань;Помощник администратора;5/2;23 460;1/4;оклад;
ОП Казань;Старший администратор;5/2;64 484;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1/2;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Администратор;5/2;34 500;1;оклад;
ОП Котельники;Помощник администратора;5/2;29 900;1;оклад;
ОП Котельники;Помощник администратора;5/2;29 900;1;оклад;
ОП Котельники;Помощник администратора;5/2;29 900;3/4;оклад;
ОП Котельники;Помощник администратора;5/2;29 900;1/2;оклад;
ОП Котельники;Ассистент приемной Администрации;5/2;70 345;1;оклад;
ОП Котельники;Старший администратор;5/2;92 621;1;оклад;
ОП Москва (БЦ Золотое кольцо);Менеджер;5/2;57 472;1;оклад;
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (БЦ Золотое кольцо);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Теплый стан);Администратор;5/2;41 035;1/2;оклад;
ОП Москва (Теплый стан);Администратор;5/2;41 035;1;оклад;
ОП Москва (Теплый стан);Ассистент;5/2;82 070;1;оклад;
ОП Москва (Теплый стан);Секретарь;5/2;70 365;1;оклад;
ОП Москва (Теплый стан);Сотрудник стола информации;5/2;333,08;1;тариф;
ОП Москва (Теплый стан);Сотрудник стола информации;5/2;333,08;1;тариф;
ОП Москва (Теплый стан);Сотрудник стола информации;5/2;333,08;1;тариф;
ОП Москва (Теплый стан);Старший администратор;5/2;79 772;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Подсобный рабочий;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Подсобный рабочий;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Подсобный рабочий;5/2;33 000;1;оклад;
ОП Москва (М.Видео);Официант;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Менеджер;5/2;45 978;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик территорий;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик территорий;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1/2;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
"ОП Москва БЦ ""Трехгорная мануфактура""";Уборщик производственных и служебных помещений;5/2;33 000;1/2;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Москва (Золотое яблоко);Уборщик производственных и служебных помещений;5/2;33 000;1;оклад;
ОП Мурманск /ОЗОН;Менеджер;5/2;42 000;1/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Мурманск /ОЗОН;Уборщик производственных и служебных помещений;5/2;23 000;3/4;оклад;
ОП Омск;Администратор;5/2;260;1/2;тариф;
ОП Омск;Администратор;5/2;260;1;тариф;
ОП Омск;Администратор;5/2;260;1;тариф;
ОП Омск;Администратор;5/2;260;1/2;тариф;
ОП Омск;Сотрудник стола информации;5/2;215;3/4;тариф;
ОП Омск;Сотрудник стола информации;5/2;215;1/2;тариф;
ОП Омск;Сотрудник стола информации;5/2;215;3/4;тариф;
ОП Омск;Сотрудник стола информации;5/2;215;3/4;тариф;
ОП Омск;Помощник администратора;5/2;50 000;1;оклад;
ОП Петрозаводск /Лемана Про;Менеджер;5/2;29 050;1;оклад;
ОП Петрозаводск /Лемана Про;Менеджер;5/2;29 800;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик территорий;5/2;22 440;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик территорий;5/2;22 440;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик территорий;5/2;22 440;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик территорий;5/2;22 440;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;5/2;22 440;1;оклад;
ОП Петрозаводск /Лемана Про;Уборщик производственных и служебных помещений;5/2;19 242;1/2;оклад;
